Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Code (crop_code),Crop Type (crop_type),Season (season),Area (area),Area Unit (area_unit),Production (production),Production Unit (production_unit),Yield (yield),Yield Unit (yield_unit)
"2022-2023","Bihar","10","Kishanganj","203","Ginger","503.0","Spices","Whole Year",160,"Hectare",300,"Tonnes",1.875,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Gram","201.0","Pulses","Rabi",86,"Hectare",93,"Tonnes",1.081,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Jute","1102.0","Fiber Crops","Kharif",13781,"Hectare",169505.56,"Tonnes",12.3,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Khesari","521.0","Spices","Rabi",218,"Hectare",226,"Tonnes",1.037,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Linseed","1005.0","Oilseeds","Rabi",1152,"Hectare",979,"Tonnes",0.85,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Maize","104.0","Cereals","Rabi",22387,"Hectare",182297,"Tonnes",8.143,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Maize","104.0","Cereals","Summer",1759,"Hectare",13773,"Tonnes",7.83,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Maize","104.0","Cereals","Total",24146,"Hectare",196070,"Tonnes",8.12,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Masoor","205.0","Pulses","Rabi",732,"Hectare",710,"Tonnes",0.97,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Mesta","1103.0","Fiber Crops","Kharif",1381,"Hectare",15305.56,"Tonnes",11.083,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Moong(Green Gram)","204.0","Pulses","Kharif",745,"Hectare",399,"Tonnes",0.536,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Moong(Green Gram)","204.0","Pulses","Summer",5283,"Hectare",3651,"Tonnes",0.691,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Moong(Green Gram)","204.0","Pulses","Total",6028,"Hectare",4050,"Tonnes",0.672,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Onion","708.0","Vegetable","Rabi",178,"Hectare",1057,"Tonnes",5.938,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Other Kharif Pulses","288.0","Pulses","Kharif",95,"Hectare",88,"Tonnes",0.926,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Potato","701.0","Vegetable","Rabi",1148,"Hectare",23708,"Tonnes",20.652,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Ragi","105.0","Cereals","Kharif",85,"Hectare",85,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",1146,"Hectare",1608,"Tonnes",1.403,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Rice","101.0","Cereals","Autumn",1723,"Hectare",4601,"Tonnes",2.67,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Rice","101.0","Cereals","Summer",13120,"Hectare",38308,"Tonnes",2.92,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Rice","101.0","Cereals","Total",81973,"Hectare",189661,"Tonnes",2.314,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Rice","101.0","Cereals","Winter",67130,"Hectare",146752,"Tonnes",2.186,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Sesamum","1003.0","Oilseeds","Kharif",234,"Hectare",205,"Tonnes",0.876,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Sugarcane","401.0","Sugar","Whole Year",64,"Hectare",4289,"Tonnes",67.016,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Turmeric","504.0","Spices","Whole Year",442,"Hectare",451,"Tonnes",1.02,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Urad","203.0","Pulses","Kharif",75,"Hectare",68,"Tonnes",0.907,"Tonnes/Hectare"
"2022-2023","Bihar","10","Kishanganj","203","Wheat","106.0","Cereals","Rabi",12017,"Hectare",26885,"Tonnes",2.237,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Barley","107.0","Cereals","Rabi",15,"Hectare",26,"Tonnes",1.733,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Coriander","509.0","Spices","Whole Year",26,"Hectare",27,"Tonnes",1.038,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Dry Chillies","502.0","Spices","Rabi",22,"Hectare",53,"Tonnes",2.409,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Garlic","508.0","Spices","Whole Year",28,"Hectare",41,"Tonnes",1.464,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Gram","201.0","Pulses","Rabi",6186,"Hectare",6904,"Tonnes",1.116,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Horse-Gram","206.0","Pulses","Kharif",5,"Hectare",5,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Khesari","521.0","Spices","Rabi",1430,"Hectare",2052,"Tonnes",1.435,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Linseed","1005.0","Oilseeds","Rabi",3,"Hectare",3,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Maize","104.0","Cereals","Autumn",4505,"Hectare",6139,"Tonnes",1.363,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Maize","104.0","Cereals","Rabi",3143,"Hectare",17761,"Tonnes",5.651,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Maize","104.0","Cereals","Summer",394,"Hectare",1567,"Tonnes",3.977,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Maize","104.0","Cereals","Total",8042,"Hectare",25467,"Tonnes",3.167,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Masoor","205.0","Pulses","Rabi",4507,"Hectare",5359,"Tonnes",1.189,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Moong(Green Gram)","204.0","Pulses","Summer",353,"Hectare",209,"Tonnes",0.592,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Onion","708.0","Vegetable","Rabi",250,"Hectare",3648,"Tonnes",14.592,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Other Kharif Pulses","288.0","Pulses","Kharif",43,"Hectare",33,"Tonnes",0.767,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Peas & Beans (Pulses)","213.0","Pulses","Rabi",1107,"Hectare",1094,"Tonnes",0.988,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Potato","701.0","Vegetable","Rabi",113,"Hectare",1405,"Tonnes",12.434,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Potato","701.0","Vegetable","Total",167,"Hectare",2374,"Tonnes",14.216,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Potato","701.0","Vegetable","Winter",54,"Hectare",969,"Tonnes",17.944,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",3237,"Hectare",5072,"Tonnes",1.567,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Rice","101.0","Cereals","Autumn",19,"Hectare",36,"Tonnes",1.895,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Rice","101.0","Cereals","Total",16219,"Hectare",64658,"Tonnes",3.987,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Rice","101.0","Cereals","Winter",16200,"Hectare",64622,"Tonnes",3.989,"Tonnes/Hectare"
"2022-2023","Bihar","10","Lakhisarai","204","Wheat","106.0","Cereals","Rabi",30742,"Hectare",107769,"Tonnes",3.506,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Arhar/Tur","202.0","Pulses","Kharif",7,"Hectare",13,"Tonnes",1.857,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Dry Chillies","502.0","Spices","Rabi",28,"Hectare",16,"Tonnes",0.571,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Garlic","508.0","Spices","Whole Year",55,"Hectare",89,"Tonnes",1.618,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Ginger","503.0","Spices","Whole Year",10,"Hectare",20,"Tonnes",2,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Gram","201.0","Pulses","Rabi",4,"Hectare",4,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Horse-Gram","206.0","Pulses","Kharif",233,"Hectare",207,"Tonnes",0.888,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Jute","1102.0","Fiber Crops","Kharif",4033,"Hectare",51266.67,"Tonnes",12.712,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Khesari","521.0","Spices","Rabi",173,"Hectare",151,"Tonnes",0.873,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Linseed","1005.0","Oilseeds","Rabi",72,"Hectare",57,"Tonnes",0.792,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Maize","104.0","Cereals","Autumn",1235,"Hectare",7079,"Tonnes",5.732,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Maize","104.0","Cereals","Rabi",20048,"Hectare",178227,"Tonnes",8.89,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Maize","104.0","Cereals","Summer",11372,"Hectare",65713,"Tonnes",5.778,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Maize","104.0","Cereals","Total",32655,"Hectare",251019,"Tonnes",7.687,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Masoor","205.0","Pulses","Rabi",231,"Hectare",166,"Tonnes",0.719,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Mesta","1103.0","Fiber Crops","Kharif",2917,"Hectare",32572.22,"Tonnes",11.166,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Moong(Green Gram)","204.0","Pulses","Kharif",53,"Hectare",35,"Tonnes",0.66,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Moong(Green Gram)","204.0","Pulses","Summer",22161,"Hectare",20743,"Tonnes",0.936,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Moong(Green Gram)","204.0","Pulses","Total",22214,"Hectare",20778,"Tonnes",0.935,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Onion","708.0","Vegetable","Rabi",205,"Hectare",2818,"Tonnes",13.746,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Other Kharif Pulses","288.0","Pulses","Kharif",1,"Hectare",1,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Peas & Beans (Pulses)","213.0","Pulses","Rabi",792,"Hectare",814,"Tonnes",1.028,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Potato","701.0","Vegetable","Rabi",1551,"Hectare",46901,"Tonnes",30.239,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Potato","701.0","Vegetable","Total",3018,"Hectare",73220,"Tonnes",24.261,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Potato","701.0","Vegetable","Winter",1467,"Hectare",26319,"Tonnes",17.941,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Ragi","105.0","Cereals","Kharif",36,"Hectare",41,"Tonnes",1.139,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",1113,"Hectare",1199,"Tonnes",1.077,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Rice","101.0","Cereals","Autumn",18062,"Hectare",35311,"Tonnes",1.955,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Rice","101.0","Cereals","Total",80231,"Hectare",182937,"Tonnes",2.28,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Rice","101.0","Cereals","Winter",62169,"Hectare",147626,"Tonnes",2.375,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Sesamum","1003.0","Oilseeds","Kharif",30,"Hectare",25,"Tonnes",0.833,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Small Millets","108.0","Cereals","Kharif",30,"Hectare",23,"Tonnes",0.767,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Sunflower","1007.0","Oilseeds","Rabi",2107,"Hectare",2897,"Tonnes",1.375,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Turmeric","504.0","Spices","Whole Year",98,"Hectare",103,"Tonnes",1.051,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Urad","203.0","Pulses","Kharif",330,"Hectare",285,"Tonnes",0.864,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhepura","205","Wheat","106.0","Cereals","Rabi",34053,"Hectare",115874,"Tonnes",3.403,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Arhar/Tur","202.0","Pulses","Kharif",185,"Hectare",389,"Tonnes",2.103,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Barley","107.0","Cereals","Rabi",12,"Hectare",21,"Tonnes",1.75,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Coriander","509.0","Spices","Whole Year",29,"Hectare",26,"Tonnes",0.897,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Dry Chillies","502.0","Spices","Rabi",37,"Hectare",28,"Tonnes",0.757,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Garlic","508.0","Spices","Whole Year",22,"Hectare",34,"Tonnes",1.545,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Ginger","503.0","Spices","Whole Year",1,"Hectare",2,"Tonnes",2,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Gram","201.0","Pulses","Rabi",4,"Hectare",4,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Horse-Gram","206.0","Pulses","Kharif",356,"Hectare",329,"Tonnes",0.924,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Khesari","521.0","Spices","Rabi",300,"Hectare",327,"Tonnes",1.09,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Linseed","1005.0","Oilseeds","Rabi",82,"Hectare",70,"Tonnes",0.854,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Maize","104.0","Cereals","Autumn",5,"Hectare",15,"Tonnes",3,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Maize","104.0","Cereals","Summer",279,"Hectare",1410,"Tonnes",5.054,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Maize","104.0","Cereals","Total",284,"Hectare",1425,"Tonnes",5.018,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Masoor","205.0","Pulses","Rabi",6993,"Hectare",6371,"Tonnes",0.911,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Moong(Green Gram)","204.0","Pulses","Kharif",142,"Hectare",88,"Tonnes",0.62,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Moong(Green Gram)","204.0","Pulses","Summer",11683,"Hectare",6694,"Tonnes",0.573,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Moong(Green Gram)","204.0","Pulses","Total",11825,"Hectare",6782,"Tonnes",0.574,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Onion","708.0","Vegetable","Rabi",325,"Hectare",1516,"Tonnes",4.665,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Other Kharif Pulses","288.0","Pulses","Kharif",7,"Hectare",5,"Tonnes",0.714,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Peas & Beans (Pulses)","213.0","Pulses","Rabi",61,"Hectare",63,"Tonnes",1.033,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Potato","701.0","Vegetable","Rabi",1951,"Hectare",35986,"Tonnes",18.445,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Potato","701.0","Vegetable","Total",4207,"Hectare",60980,"Tonnes",14.495,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Potato","701.0","Vegetable","Winter",2256,"Hectare",24994,"Tonnes",11.079,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Ragi","105.0","Cereals","Kharif",232,"Hectare",257,"Tonnes",1.108,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",379,"Hectare",325,"Tonnes",0.858,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Rice","101.0","Cereals","Autumn",38297,"Hectare",62122,"Tonnes",1.622,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Rice","101.0","Cereals","Summer",3270,"Hectare",7180,"Tonnes",2.196,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Rice","101.0","Cereals","Total",172490,"Hectare",276162,"Tonnes",1.601,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Rice","101.0","Cereals","Winter",130923,"Hectare",206860,"Tonnes",1.58,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Sannhamp","1104.0","Fiber Crops","Kharif",1,"Hectare",1,"Tonnes",1,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Sesamum","1003.0","Oilseeds","Kharif",60,"Hectare",53,"Tonnes",0.883,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Sugarcane","401.0","Sugar","Whole Year",276,"Hectare",29544,"Tonnes",107.043,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Turmeric","504.0","Spices","Whole Year",17,"Hectare",14,"Tonnes",0.824,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Urad","203.0","Pulses","Kharif",625,"Hectare",553,"Tonnes",0.885,"Tonnes/Hectare"
"2022-2023","Bihar","10","Madhubani","206","Wheat","106.0","Cereals","Rabi",87771,"Hectare",177651,"Tonnes",2.024,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Arhar/Tur","202.0","Pulses","Kharif",45,"Hectare",87,"Tonnes",1.933,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Gram","201.0","Pulses","Rabi",829,"Hectare",608,"Tonnes",0.733,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Horse-Gram","206.0","Pulses","Kharif",81,"Hectare",74,"Tonnes",0.914,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Khesari","521.0","Spices","Rabi",96,"Hectare",119,"Tonnes",1.24,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Linseed","1005.0","Oilseeds","Rabi",132,"Hectare",130,"Tonnes",0.985,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Maize","104.0","Cereals","Autumn",656,"Hectare",1343,"Tonnes",2.047,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Maize","104.0","Cereals","Rabi",390,"Hectare",2297,"Tonnes",5.89,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Maize","104.0","Cereals","Summer",1054,"Hectare",4471,"Tonnes",4.242,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Maize","104.0","Cereals","Total",2100,"Hectare",8111,"Tonnes",3.862,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Masoor","205.0","Pulses","Rabi",655,"Hectare",431,"Tonnes",0.658,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Moong(Green Gram)","204.0","Pulses","Kharif",136,"Hectare",61,"Tonnes",0.449,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Moong(Green Gram)","204.0","Pulses","Summer",145,"Hectare",86,"Tonnes",0.593,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Moong(Green Gram)","204.0","Pulses","Total",281,"Hectare",147,"Tonnes",0.523,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Onion","708.0","Vegetable","Rabi",17,"Hectare",248,"Tonnes",14.588,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Peas & Beans (Pulses)","213.0","Pulses","Rabi",394,"Hectare",467,"Tonnes",1.185,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Potato","701.0","Vegetable","Rabi",327,"Hectare",4066,"Tonnes",12.434,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Potato","701.0","Vegetable","Total",539,"Hectare",7869,"Tonnes",14.599,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Potato","701.0","Vegetable","Winter",212,"Hectare",3803,"Tonnes",17.939,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",502,"Hectare",535,"Tonnes",1.066,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Rice","101.0","Cereals","Summer",252,"Hectare",628,"Tonnes",2.492,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Rice","101.0","Cereals","Total",25980,"Hectare",74503,"Tonnes",2.868,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Rice","101.0","Cereals","Winter",25728,"Hectare",73875,"Tonnes",2.871,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Sugarcane","401.0","Sugar","Whole Year",40,"Hectare",3374,"Tonnes",84.35,"Tonnes/Hectare"
"2022-2023","Bihar","10","Munger","207","Wheat","106.0","Cereals","Rabi",13576,"Hectare",42503,"Tonnes",3.131,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Arhar/Tur","202.0","Pulses","Kharif",527,"Hectare",863,"Tonnes",1.638,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Barley","107.0","Cereals","Rabi",279,"Hectare",482,"Tonnes",1.728,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Coriander","509.0","Spices","Whole Year",120,"Hectare",110,"Tonnes",0.917,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Dry Chillies","502.0","Spices","Rabi",96,"Hectare",112,"Tonnes",1.167,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Garlic","508.0","Spices","Whole Year",47,"Hectare",72,"Tonnes",1.532,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Ginger","503.0","Spices","Whole Year",34,"Hectare",62,"Tonnes",1.824,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Gram","201.0","Pulses","Rabi",112,"Hectare",121,"Tonnes",1.08,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Khesari","521.0","Spices","Rabi",448,"Hectare",249,"Tonnes",0.556,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Linseed","1005.0","Oilseeds","Rabi",36,"Hectare",31,"Tonnes",0.861,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Maize","104.0","Cereals","Autumn",11194,"Hectare",31845,"Tonnes",2.845,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Maize","104.0","Cereals","Rabi",9984,"Hectare",54233,"Tonnes",5.432,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Maize","104.0","Cereals","Summer",12167,"Hectare",70277,"Tonnes",5.776,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Maize","104.0","Cereals","Total",33345,"Hectare",156355,"Tonnes",4.689,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Masoor","205.0","Pulses","Rabi",869,"Hectare",494,"Tonnes",0.568,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Moong(Green Gram)","204.0","Pulses","Summer",22076,"Hectare",18522,"Tonnes",0.839,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Onion","708.0","Vegetable","Rabi",122,"Hectare",1722,"Tonnes",14.115,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Other Rabi Pulses","288.0","Pulses","Rabi",444,"Hectare",447,"Tonnes",1.007,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Peas & Beans (Pulses)","213.0","Pulses","Rabi",110,"Hectare",106,"Tonnes",0.964,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Potato","701.0","Vegetable","Rabi",4740,"Hectare",40499,"Tonnes",8.544,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Potato","701.0","Vegetable","Total",5259,"Hectare",48874,"Tonnes",9.293,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Potato","701.0","Vegetable","Winter",519,"Hectare",8375,"Tonnes",16.137,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",5095,"Hectare",4428,"Tonnes",0.869,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Rice","101.0","Cereals","Autumn",30346,"Hectare",52546,"Tonnes",1.732,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Rice","101.0","Cereals","Total",121471,"Hectare",229860,"Tonnes",1.892,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Rice","101.0","Cereals","Winter",91125,"Hectare",177314,"Tonnes",1.946,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Sesamum","1003.0","Oilseeds","Kharif",17,"Hectare",15,"Tonnes",0.882,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Sugarcane","401.0","Sugar","Whole Year",1113,"Hectare",38806,"Tonnes",34.866,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Tobacco","1302.0","Drugs And Narcotics","Whole Year",344,"Hectare",605,"Tonnes",1.759,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Turmeric","504.0","Spices","Whole Year",57,"Hectare",67,"Tonnes",1.175,"Tonnes/Hectare"
"2022-2023","Bihar","10","Muzaffarpur","208","Wheat","106.0","Cereals","Rabi",126920,"Hectare",279595,"Tonnes",2.203,"Tonnes/Hectare"
"2022-2023","Bihar","10","Nalanda","209","Arhar/Tur","202.0","Pulses","Kharif",161,"Hectare",297,"Tonnes",1.845,"Tonnes/Hectare"
"2022-2023","Bihar","10","Nalanda","209","Barley","107.0","Cereals","Rabi",58,"Hectare",128,"Tonnes",2.207,"Tonnes/Hectare"
